sphere_id,x,y,z,r,object_type,object_id,branch_id,parent_sphere_id
307,25.0248,24.8568,25.9828,0.980519,0,36,0,240
308,30.1432,25.0609,25.9841,0.955852,0,37,0,241
309,34.9086,24.8848,25.9746,1.00717,0,38,0,242
310,40.0137,25.0841,25.966,1.01563,0,39,0,243
311,5.06136,29.8836,25.9962,0.992851,0,40,0,244
312,9.9296,29.9801,26.0351,1.01604,0,41,0,245
313,15.0929,29.8351,26.0005,0.965611,0,42,0,246
314,19.9431,29.9078,26.0314,1.01356,0,43,0,247
315,24.8968,30.0763,26.011,1.02669,0,44,0,248
316,29.8746,29.9391,25.9752,0.938951,0,45,0,249
317,34.9735,30.0755,25.9867,0.925359,0,46,0,250
318,39.9665,30.137,26.0162,1.05192,0,47,0,251
319,4.92374,34.9007,26.0127,1.03967,0,48,0,252
320,9.91308,34.9196,26.0047,0.922513,0,49,0,253
321,14.9928,35.0638,26.0189,1.01462,0,50,0,254
322,19.8967,35.1543,26.0045,0.978059,0,51,0,255
323,25.089,35.1003,26.0011,0.987157,0,52,0,256
324,29.9281,35.0545,25.9837,0.903148,0,53,0,257
325,34.8881,34.9422,26.0195,0.923069,0,54,0,258
326,40.0574,34.8726,26.0186,0.987431,0,55,0,259
327,5.10192,39.9245,26.0078,1.00664,0,56,0,260
328,9.98055,39.9671,26.0366,0.934945,0,57,0,261
329,14.9337,40.0975,26.0565,0.973369,0,58,0,262
330,20.1352,39.9344,25.981,1.03637,0,59,0,263
331,24.9138,39.9205,25.9665,1.08495,0,60,0,264
332,29.8185,39.9133,26.0265,0.990959,0,61,0,265
333,35.0231,39.8793,25.9751,1.02502,0,62,0,266
334,39.832,40.0846,26.0275,1.02526,0,63,0,267
335,4.85393,5.00885,26.3094,1.03782,0,0,0,268
336,10.0109,5.00784,26.1815,0.915092,0,1,0,269
337,15.0247,5.07887,26.2788,1.01998,0,2,0,270
338,20.0064,5.17296,26.2694,0.963178,0,3,0,271
339,25.0017,5.2936,26.2904,1.04836,0,4,0,272
340,29.8943,5.07344,26.2574,0.970261,0,5,0,273
341,35.0224,5.06375,26.2574,0.942025,0,6,0,274
342,40.0709,4.8093,26.2008,1.03005,0,7,0,275
343,4.76697,10.0898,26.1867,0.924458,0,8,0,276
344,9.95366,9.98008,26.3009,1.02787,0,9,0,277
345,15.1676,9.90559,26.2598,1.05163,0,10,0,278
346,20.0595,9.9306,26.2893,1.02457,0,11,0,279
347,24.923,10.1459,26.296,1.04712,0,12,0,280
348,30.0389,9.84964,26.2449,1.04653,0,13,0,281
349,35.0624,10.0121,26.268,0.946835,0,14,0,282
350,40.0085,9.98677,26.297,1.01686,0,15,0,283
351,4.94045,15.0218,26.2632,0.96918,0,16,0,284
352,9.83947,15.1333,26.2626,1.06828,0,17,0,285
353,15.0519,15.0339,26.2687,1.00392,0,18,0,286
354,19.9212,14.9803,26.2751,1.06256,0,19,0,287
355,25.0374,14.8947,26.2785,0.954868,0,20,0,288
356,30.03,14.7474,26.2616,1.03388,0,21,0,289
357,34.945,15.0936,26.3291,1.02784,0,22,0,290
358,39.8328,14.9084,26.2712,0.917477,0,23,0,291
359,4.75335,20.0554,26.2097,0.966536,0,24,0,292
360,9.8633,20.057,26.2761,1.07546,0,25,0,293
361,14.853,20.0096,26.3025,1.02589,0,26,0,294
362,20.106,19.8268,26.2557,0.954553,0,27,0,295
363,25.1007,20.0211,26.3017,0.982848,0,28,0,296
364,30.0139,20.2005,26.2763,0.984564,0,29,0,297
365,34.917,20.0499,26.2549,1.01258,0,30,0,298
366,39.7148,19.9909,26.2183,0.975736,0,31,0,299
367,4.95381,45.2837,26.2247,0.88819,0,64,0,300
368,9.8226,45.0959,26.2903,0.99118,0,65,0,301
369,14.9453,45.1076,26.282,0.996315,0,66,0,302
370,4.92552,24.9303,26.2772,1.01096,0,32,0,303
371,10.0538,24.9563,26.2618,0.984156,0,33,0,304
372,14.889,24.9668,26.3003,1.07385,0,34,0,305
373,20.0014,25.1071,26.2633,0.946186,0,35,0,306
374,25.0665,24.8148,26.2207,0.924538,0,36,0,307
375,30.2077,25.0485,26.2139,0.947367,0,37,0,308
376,34.8602,24.8228,26.2307,1.07158,0,38,0,309
377,40.031,25.1017,26.2187,0.970995,0,39,0,310
378,5.10378,29.8543,26.2437,1.01141,0,40,0,311
379,9.91692,29.9274,26.2839,1.01854,0,41,0,312
380,15.1221,29.7802,26.2389,0.985722,0,42,0,313
381,19.9033,29.919,26.3153,1.14765,0,43,0,314
382,24.845,30.0824,26.2623,0.990913,0,44,0,315
