sphere_id,x,y,z,r,object_type,object_id,branch_id,parent_sphere_id
405,30.0765,14.6032,26.9558,1.33086,0,21,0,341
406,34.8808,15.1373,26.5979,1.0001,0,22,0,342
407,39.9429,14.9551,25.4518,0.300921,0,23,0,343
408,4.68827,20.0452,26.2952,0.834171,0,24,0,344
409,9.92527,20.034,25.8728,0.582619,0,25,0,345
410,14.8152,20,26.5906,0.969626,0,26,0,346
411,20.3677,19.4615,28.6327,2.37998,0,27,0,347
412,25.1039,20.0256,26.1866,0.782421,0,28,0,348
413,30.0006,20.0357,25.2601,0.164191,0,29,0,349
414,34.8636,20.061,26.9136,1.16849,0,30,0,350
415,39.775,19.9799,25.8713,0.585836,0,31,0,351
416,4.87966,24.8728,26.9077,1.18184,0,32,0,352
417,10.1159,24.9391,27.0921,1.3529,0,33,0,353
418,14.8972,24.9744,26.0244,0.693176,0,34,0,354
419,20.0243,25.0861,26.2086,0.818052,0,35,0,355
420,25.0535,24.8922,25.7874,0.505825,0,36,0,356
421,30.3669,25.057,27.0792,1.45756,0,37,0,357
422,34.9288,24.9085,25.5247,0.353677,0,38,0,358
423,40.0555,25.089,26.3302,0.876099,0,39,0,359
424,5.16932,29.8183,26.4645,1.0004,0,40,0,360
425,9.9486,29.9197,26.0827,0.701054,0,41,0,361
426,15.135,29.7691,26.2173,0.743985,0,42,0,362
427,19.7935,29.9427,27.3246,1.35767,0,43,0,363
428,24.7851,30.0847,26.5696,1.04915,0,44,0,364
429,29.7208,29.8608,27.9765,2.08384,0,45,0,365
430,34.9719,30.0842,25.6658,0.418019,0,46,0,366
431,39.9433,30.1599,26.3064,0.79885,0,47,0,367
432,4.64433,34.2929,28.7283,2.54542,0,48,0,368
433,9.77552,34.8505,26.4654,0.988629,0,49,0,369
434,14.9468,35.0439,26.0723,0.729368,0,50,0,370
435,19.5022,35.4513,27.7096,1.8043,0,51,0,371
436,25.2266,35.2763,27.1273,1.38267,0,52,0,372
437,29.7787,35.1725,26.6824,1.11684,0,53,0,373
438,34.763,34.9491,26.8054,1.20885,0,54,0,374
439,40.1215,34.6791,27.5801,1.63549,0,55,0,375
440,5.08243,39.9394,25.8788,0.529023,0,56,0,376
441,9.94476,39.9661,26.4826,0.898838,0,57,0,377
442,14.8999,40.1344,26.481,0.860291,0,58,0,378
443,20.0676,39.9583,25.4508,0.321906,0,59,0,379
444,24.9552,39.9599,25.54,0.375275,0,60,0,380
445,29.8099,39.9116,26.3032,0.892561,0,61,0,381
446,34.9788,39.7627,26.6023,1.1827,0,62,0,382
447,39.7374,40.1355,26.301,0.859084,0,63,0,383
448,4.83472,5.02411,27.1923,1.12121,0,0,0,384
449,10.0294,4.93879,26.2278,0.775192,0,1,0,385
450,15.0352,5.07148,26.3461,0.735816,0,2,0,386
451,20.0273,5.17575,26.126,0.60058,0,3,0,387
452,24.9891,5.27727,26.1262,0.612888,0,4,0,388
453,29.6873,5.14761,27.4427,1.4617,0,5,0,389
454,35.0146,5.01898,25.7696,0.433558,0,6,0,390
455,40.0986,4.74325,26.6851,0.959598,0,7,0,391
456,4.87035,10.0464,25.6153,0.333124,0,8,0,392
